X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
21	0	December 1973	Fabrizio De André	Storia di un impiegato	100	storia.jpg	0
15	0	October 1971	Fabrizio De André	Non al denaro non all'amore né al cielo	100	denaro.jpg	1
9	0	1969	Ennio Morricone	Vergogna schifosi	100	schifosi.jpg	2
24	0	December 1974	Lucio Battisti	Anima latina	100	latina.jpg	3
18	0	January 1972	Premiata Forneria Marconi	Storia di un minuto	100	minuto.jpg	4
12	0	November 1970	Fabrizio De André	La buona novella	100	novella.jpg	5
22	0	1973	Museo Rosenbach	Zarathustra	100	zara.jpg	6
19	0	November 1972	Premiata Forneria Marconi	Per un amico	100	amico.jpg	7
20	0	December 1972	Banco del Mutuo Soccorso	Darwin!	100	darwin.jpg	8
33	0	1977	Goblin	Suspiria	100	suspiria.jpg	9
6	0	September 1968	Fabrizio De André	Tutti morimmo a stento	100	morimmo.jpg	10
18	1	May 1972	Banco del Mutuo Soccorso	Banco del Mutuo Soccorso	100	bms.jpg	11
25	0	January 1974	Quella Vecchia Locanda	Il tempo della gioia	100	gioia.jpg	12
39	0	October 1979 Live	Fabrizio De André con PFM	In concerto: Arrangiamenti PFM	100	pfm.jpg	13
23	0	December 1973	Banco del Mutuo Soccorso	Io sono nato libero	100	libero.jpg	14
30	0	1976	Picchio dal Pozzo	Picchio dal Pozzo	100	picchio.jpg	15
21	1	1973	Area	Arbeit macht frei	100	arbeit.jpg	16
36	0	1978 Live	Giorgio Gaber	Polli di allevamento	100	polli.jpg	17
31	0	1976 Live	Giorgio Gaber	Libertà obbligatoria	100	liberta.jpg	18
22	1	1973	Le Orme	Felona e Sorona	100	felona.jpg	19
27	0	1975 Live	Area	Are(A)zione	100	areazione.jpg	20
26	0	1974	Biglietto per l'Inferno	Biglietto per l'Inferno	100	biglietto.jpg	21
19	1	1972	Il Balletto di Bronzo	Ys	100	ys.jpg	22
20	1	June 1972	Quella Vecchia Locanda	Quella Vecchia Locanda	100	locanda.jpg	23
32	0	April 1976	Claudio Lolli	Ho visto anche degli zingari felici	100	zingari.jpg	24
23	1	1973	Battiato	Sulle corde di Aries	100	aries.jpg	25
28	0	1975	Area	Crac!	100	crac.jpg	26
21	2	1973	Osanna	Palepoli	100	palepoli.jpg	27
40	0	1979	Lucio Dalla	Lucio Dalla	100	dalla.jpg	28
22	2	1973	Jumbo	Vietato ai minori di 18 anni?	100	minori.jpg	29
29	0	1975	Maxophone	Maxophone	100	maxo.jpg	30
13	0	1970	Léo Ferré	Amour anarchie - Ferré 70	100	ferre.jpg	31
27	1	1975	Goblin	Profondo rosso	100	profondo.jpg	32
34	0	June 1977	Locanda delle Fate	Forse le lucciole non si amano più	100	lucciole.jpg	33
23	2	September 1973	Lucio Battisti	Il nostro caro angelo	100	caro.jpg	34
21	3	1973	Alphataurus	Alphataurus	100	alpha.jpg	35
16	0	1971	Piero Ciampi	Piero Ciampi	100	ciampi.jpg	36
18	2	1972	Le Orme	Uomo di pezza	100	pezza.jpg	37
24	1	March 1974	Premiata Forneria Marconi	L'isola di niente	100	isola.jpg	38
30	1	January 1976	Celeste	Celeste	100	celeste.jpg	39
31	1	1976	Compagnia il Cerchio, Roberto De Simone & Nuova Compagnia di Canto Popolare	La gatta Cenerentola	100	gatta.jpg	40
41	0	1979	Pino Daniele	Pino Daniele	100	daniele.jpg	41
25	1	10 April 1974	Arti & Mestieri	Tilt (Immagini per un orecchio)	100	tilt.jpg	42
26	1	October 1974 Live	Premiata Forneria Marconi	Live in U.S.A.	100	usa.jpg	43
22	3	1973	Metamorfosi	Inferno	100	inferno.jpg	44
39	1	10 September 1979	Battiato	L'era del cinghiale bianco	100	cinghiale.jpg	45
23	3	1973	Piero Ciampi	Io e te abbiamo perso la bussola	100	bussola.jpg	46
21	4	1973	Campo Di Marte	Campo di Marte	100	marte.jpg	47
14	0	15 December 1970	Lucio Battisti	Emozioni	100	emozioni.jpg	48
17	0	January 1971	Piero Umiliani	5 bambole per la luna d'agosto	100	bambole.jpg	49
28	1	1975	arti+mestieri	Giro di valzer per domani	100	valzer.jpg	50
29	1	January 1975	Francesco De Gregori	Rimmel	100	rimmel.jpg	51
35	0	September 1977	Lucio Dalla	Come è profondo il mare	100	mare.jpg	52
22	4	October 1973	Premiata Forneria Marconi	Photos of Ghosts	100	ghosts.jpg	53
24	2	1974	Sensations' Fix	Portable Madness	100	madness.jpg	54
32	1	1976	Francesco Guccini	Via Paolo Fabbri 43	100	fabbri.jpg	55
37	0	1978 Live	Mina	Mina Live (Registrato a "Bussoladomani")	100	mina.jpg	56
23	4	1973	Semiramis	Dedicato a Frazz	100	frazz.jpg	57
27	2	1975	Il Volo	Essere o Non Essere?	100	essere.jpg	58
7	0	December 1968	Fabrizio De André	Volume 3	100	tre.jpg	59
