X	Y	LABEL	ARTISTA	DISCO	RYM	COVERPATH	PROGRESSIVO
0	0	December 1954	Clifford Brown and Max Roach	Clifford Brown and Max Roach	389	clifford.jpg	0
2	0	September 1956 Live	Duke Ellington	Ellington at Newport	396	newport.jpg	1
3	0	April 1957	Sonny Rollins	Saxophone Colossus	396	colossus.jpg	2
3	1	April 1957	Thelonious Monk	Brilliant Corners	388	brilliant.jpg	3
3	2	November 1957	Thelonious Monk Septet	Monk's Music	393	music.jpg	4
4	0	August 1958	Cannonball Adderley	Somethin' Else	395	else.jpg	5
4	1	January 1958	John Coltrane	Blue Train	402	bluetrain.jpg	6
4	2	February 1958 Live	Sonny Rollins	A Night at the Village Vanguard	391	village.jpg	7
4	3	1958 Live	Thelonious Monk Quartet	Misterioso	395	misterioso.jpg	8
4	4	1958 Live	Thelonious Monk Quartet	Thelonious in Action	396	action.jpg	9
5	0	January 1959	Art Blakey and The Jazz Messengers	Art Blakey and The Jazz Messengers [Moanin']	405	moanin.jpg	10
5	1	14 September 1959	Charles Mingus	Mingus Ah Um	409	ahum.jpg	11
5	2	17 August 1959	Miles Davis	Kind of Blue	424	kindofblue.jpg	12
5	3	November 1959	Ornette Coleman	The Shape of Jazz to Come	398	shape.jpg	13
5	4	December 1959 Live	The Cannonball Adderley Quintet Featuring Nat Adderley	The Cannonball Adderley Quintet in San Francisco	393	quintet.jpg	14
5	5	14 December 1959	The Dave Brubeck Quartet	Time Out	394	timeout.jpg	15
5	6	May 1959 Live	The Thelonious Monk Orchestra	The Thelonious Monk Orchestra at Town Hall	398	townhall.jpg	16
6	0	March 1960	Charlie Mingus	Blues & Roots	404	roots.jpg	17
6	1	1960 Live	Ella Fitzgerald	Ella in Berlin: Mack the Knife	399	knife.jpg	18
6	2	27 January 1960	John Coltrane	Giant Steps	411	giantsteps.jpg	19
6	3	18 July 1960	Miles Davis	Sketches of Spain	388	sketches.jpg	20
7	0	October 1961 Live	Bill Evans Trio	Sunday at the Village Vanguard	399	sunday.jpg	21
7	1	November 1961 Live	Eric Dolphy	At the Five Spot, Vol. 1	396	fivespot.jpg	22
7	2	March 1961	John Coltrane	My Favorite Things	410	favoritethings.jpg	23
7	3	November 1961	John Coltrane	Olé Coltrane	401	ole.jpg	24
7	4	January 1961	Max Roach	We Insist! Max Roach's Freedom Now Suite	388	insist.jpg	25
7	5	1 September 1961 Live	Miles Davis	Miles Davis in Person, Saturday Night at the Blackhawk, San Francisco, Volume 2	394	person.jpg	26
7	6	1 September 1961	Oliver Nelson	The Blues and the Abstract Truth	389	truth.jpg	27
7	7	1 September 1961	The John Coltrane Quartet	Africa / Brass	400	africabrass.jpg	28
7	8	September 1961	The Ornette Coleman Double Quartet	Free Jazz	388	freejazz.jpg	29
8	0	January 1962	Art Blakey & The Jazz Messengers	Mosaic	393	mosaic.jpg	30
8	1	1962 Live	Bill Evans Trio	Waltz for Debby	403	debby.jpg	31
8	2	February 1962 Live	John Coltrane	Coltrane "Live" at the Village Vanguard	407	vanguard.jpg	32
8	3	1962 Live	Wes Montgomery	Full House	393	fullhouse.jpg	33
9	0	February 1963	Duke Ellington / Charlie Mingus / Max Roach	Money Jungle	389	moneyjungle.jpg	34
9	1	July 1963	Mingus	The Black Saint and the Sinner Lady	434	blacksaint.jpg	35
9	2	14 January 1963	The Thelonious Monk Quartet	Monk's Dream	391	dream.jpg	36
10	0	May 1964	Charles Mingus	Mingus Mingus Mingus Mingus Mingus	397	mingusmingusmingus.jpg	37
10	1	1964 Live	Charles Mingus	Town Hall Concert 1964, Vol. 1	395	town1964.jpg	38
10	2	April 1964 Live	Coltrane	Live at Birdland	405	birdland.jpg	39
10	3	August 1964	Eric Dolphy	Out to Lunch	398	lunch.jpg	40
